"Id","ProjName","CommitSha","FileName","BDiffScoreA","GitScoreA","ldiffScoreA","GumTreeScoreA","GPTScoreA","QwenA","CommentA","BDiffScoreB","GitScoreB","ldiffScoreB","GumTreeScoreB","GPTScoreB","QwenB","CommentB","Type","nEdits"
"49","mall","f603ca624dbf0876d79c796155455f94430c3cb2","OmsOrderSettingMapper.xml","6","5","5","5","5","1","","6","5","5","5","2","1","","Block","450"
"50","mall","f603ca624dbf0876d79c796155455f94430c3cb2","PmsProductAttributeMapper.xml","5","6","6","6","6","2","","6","4","4","4","5","1","bdiff一处多行复制加变更有一点像falsepositive，改的比例太多了","Block","638"
"51","ok-http","66220f81e3c4b5dfc0b87e45ebefb4636bef2a22","HttpResponseCache.java","6","5","5","5","5","3","","6","4","5","4","4","1","","Block","9"
"52","ok-http","85e568e52d841c20ee5ecc68e8a589c9eabadbe6","URLConnectionTest.java","6","5","5","4","3","1","","6","6","6","2","3","1","块操作不是完整的语句，增加了理解负担","Block","47"
"53","ok-http","972a2f7556d4c3b759b8a9dca6026a9a819fa0bf","MockWebServerTest.java","6","6","6","6","6","4","","6","5","5","5","5","1","","Block","36"
"54","pyxel","26f1067554ee5f8f1b3c5882ac9c450927a76599","app.py","6","6","6","6","4","5","","6","4","5","2","3","1","move和copy有重叠，另外15号块操作疑似误判","Block","162"
"55","pyxel","f57563cde5ea0af4e5bfa49338444e46c34fee90","app.py","6","6","6","6","3","1","","6","4","5","2","3","1","","Block","166"
"56","requests","5fe24abfb99fd9850352329de9c4c091a8a71a05","core.py","6","6","6","6","4","3","","6","4","6","2","4","1","无块操作","Non-block","29"
"57","requests","cde3b88f3e93a9503810acc0ded890025fcbc119","core.py","6","6","6","6","6","4","","6","5","3","2","5","1","","Block","13"
"58","spring-cloud-alibaba","7594313bea0ddb1e3d10cd8864972b8d55da1011","pom.xml","6","6","6","6","6","3","","6","6","6","6","6","1","","Block","5"
"59","textual","b89d81e3821e37e6ba0f43fada04ac22503e991d","message.py","6","6","6","6","5","4","","6","5","6","2","3","1","","Block","13"
"60","textual","e662cc7b3d2208a9824f5ff26bf91d6c9234d75e","_xterm_parser.py","6","6","4","6","6","3","","5","4","6","2","3","1","70有点误导，中间的update识别有点乱","Block","79"
"61","ansible","34cbbfbfe1eb8c7508a4306e65b924bc250a6ebe","utils.py","6","6","6","2","3","1","","5","5","5","4","1","2","GPT5-mini差异标识偏移一行","Non-block","26"
"62","ansible","440bac4a95db0f14b8bd2d378d9c7d8921429eb8","runner.py","6","5","4","2","3","1","","5","5","5","3","2","1","","Non-block","41"
"63","ansible","6541f338dff3805881002c3f45a6dc0d27396505","runner.py","6","6","6","2","6","1","","6","6","6","1","6","1","","Non-block","1"
"64","ansible","847846af0e28ab597d83f8f7ab4aaf584e3c4e2e","playbook.py","6","6","6","2","6","1","","6","6","6","4","5","3","","Non-block","5"
"65","ansible","85f751175d74482ca220a9a1c43a34fe3aec5f96","runner.py","6","5","4","2","3","1","","5","4","5","6","4","1","","Non-block","20"
"66","ansible","d44e0bbb6197f2a21d7f6f7aa0079af42408a306","setup.py","6","5","4","2","3","1","","6","5","5","4","5","3","","Block","3"
"67","ansible","de1d0011bc7072b2176abff463b1bf1c062b0be0","playbook.py","6","5","4","2","3","1","","6","5","5","1","6","1","","Non-block","2"
"68","ansible","e5f62f20b13d0d22d92e431b20733d8829e6a662","runner.py","6","5","4","2","3","1","","6","5","5","5","3","2","LLM会漏掉一些差异","Non-block","20"
"69","arthas","77460d071fa5e32b4fe27257ed1f1564a7984267","pom.xml","6","5","3","4","2","1","","5","5","5","5","5","1","","Block","14"
"70","arthas","ebe3257aadd9956e358c1820eae4841d821a7f6a","assembly.xml","6","4","5","3","2","1","","5","5","5","6","6","1","","Block","5"
"71","black","0de0851a47cc36173028b52743caff0af0344278","black.py","6","4","5","3","2","1","","6","5","6","1","1","1","","Non-block","2"
"72","black","5370714c963fa59d84356e2841882e42ab16641e","expression.py","6","6","6","2","3","1","","6","6","6","1","4","3","","Non-block","2"
"73","black","591bedc2be0cec92c5f253fd473864c876233114","test_black.py","6","4","5","2","3","1","","6","5","6","1","1","1","","Non-block","3"
"74","black","6316e293ac30a2837ec20eba289fd28a2a18cf89","black.py","6","4","5","3","2","1","","5","5","4","5","1","1","","Block","51"
"75","black","7e1c5b2ba6355f1a6916cf5545dc577cf2e6c727","test_black.py","6","3","5","2","5","1","","6","4","5","4","5","1","","Block","26"
"76","black","a970a205bcea73672e85468836b477d3262ee75e","black.py","6","4","5","3","2","1","","5","4","5","5","1","1","","Block","8"
"77","black","e911c79809c4fd9b0773dea5b6a0e710b59614cf","test_black.py","6","5","5","2","3","1","","5","5","5","4","5","1","","Block","8"
"78","django","b1c543d0910a79f4de93464fa684416c9441f7ce","mysql.py","6","5","5","2","3","1","","6","5","5","5","5","1","","Block","13"
"79","drool","297a5ab55743e49187daf4f2b9cd1512e9d1d72c","BetaNode.java","6","4","5","3","2","1","","4","4","4","4","2","1","","Block","87"
"80","elastic-search","847db717c66509a817e1b965226ee1e44c08918d","TransportModule.java","6","4","5","2","3","1","","5","4","5","4","1","2","","Block","17"
"81","elastic-search","9e8b5e50607b759dba4ce3d4d9104b6539d370df","BoolJsonQueryParser.java","6","5","5","2","5","1","","5","4","4","2","4","1","","Block","14"
"82","jabref","e82b097bfeacb78cba232065ca07600cda596903","JabRefFrame.java","6","5","5","3","1","2","","5","4","4","5","1","1","","Block","18"
"83","killbill","0f0b43f1fb73bde5399c0fef13057f05dab0f04c","CasePhase.java","6","5","3","2","4","1","","5","4","5","4","2","3","","Non-block","10"
"84","killbill","0f0b43f1fb73bde5399c0fef13057f05dab0f04c","Catalog.java","6","4","4","2","5","1","","6","5","5","6","6","1","","Non-block","4"
"85","killbill","2fe4277032dfaff6876b2284c9ab235192f00b02","IProduct.java","6","5","4","2","3","1","","5","5","5","6","6","1","","Non-block","4"
"86","killbill","2fe4277032dfaff6876b2284c9ab235192f00b02","Product.java","6","4","5","2","3","1","","5","4","4","4","3","1","","Block","35"
"87","killbill","52cfccd37350a3e4570d424addeeee6ec59f8ea4","EntitlementModule.java","6","3","4","5","2","1","","5","4","5","5","5","2","","Non-block","10"
"88","killbill","a338b369fadef381da79a6757315f1a39c1079c8","InvoiceItem.java","6","4","5","2","3","1","","5","3","4","3","2","1","","Block","96"
"89","magisk","91c6ae229e149dd93edada3c14fa2901853e7c25","single_module_fragment.xml","6","5","5","5","5","1","","6","5","5","5","5","3","","Block","12"
"90","mall","f603ca624dbf0876d79c796155455f94430c3cb2","PmsProductCategoryMapper.xml","6","5","3","4","2","1","","4","5","5","5","5","1","","Block","742"
"91","ok-http","08b1d7f3206981c69e72680e94a220353a8db7c3","AbstractHttpOutputStream.java","6","4","5","1","3","2","","3","3","3","6","1","1","","Non-block","2"
"92","ok-http","08b1d7f3206981c69e72680e94a220353a8db7c3","HttpEngine.java","6","2","5","5","5","1","","6","5","6","6","6","1","","Non-block","2"
"93","ok-http","08b1d7f3206981c69e72680e94a220353a8db7c3","Objects.java","6","3","4","2","5","1","","6","5","6","5","6","1","","Non-block","3"
"94","ok-http","3748484ffb160810d7f94c9f25c5566c210880ed","QueueDispatcher.java","6","2","4","3","5","1","","5","4","4","5","5","1","","Non-block","5"
"95","okhttp","3a0874cb220a26170e7097432676307feef4504f","pom.xml","6","4","3","5","2","1","","5","4","5","4","4","2","","Block","28"
"96","okhttp","5345c1ab20add48e164b893f833a95c76ab5da9d","pom.xml","6","5","5","5","5","1","","6","5","5","5","5","1","","Block","8"
"97","ok-http","66220f81e3c4b5dfc0b87e45ebefb4636bef2a22","SpdyTransport.java","6","3","4","5","2","1","","6","4","6","6","6","1","","Block","4"
"98","ok-http","66220f81e3c4b5dfc0b87e45ebefb4636bef2a22","SslContextBuilder.java","6","3","4","5","2","1","","6","5","5","6","6","1","","Non-block","6"
"99","okhttp","8f988a303b24fa44ac942f1a3bcf36973cb38adc","pom.xml","6","5","5","5","5","1","","6","5","5","5","5","4","","Block","9"
"100","okhttp","c8638813ff5f90715417e489b342aae5e410c5b2","pom.xml","6","3","4","5","2","1","","5","4","5","5","3","1","","Block","29"
"101","okhttp","f984c3940d3352f8d9be42e0e110cb006624762d","pom.xml","6","2","5","5","5","1","","5","5","5","4","4","3","","Block","26"
"102","protobuf","5bf536169edf456f78ac8cecaf1575e0b7e73585","pom.xml","6","3","4","5","2","1","","5","4","5","4","4","1","","Block","59"
"103","protobuf","c6170a96e3973c61fd062bb65ffd4e7c758b6cf0","pom.xml","6","5","5","5","5","1","","5","4","4","4","4","1","","Block","58"
"104","pyxel","39169636e757172c5609fca906223099a902e92e","test.py","6","4","5","3","2","1","","4","3","4","3","2","1","","Block","141"
"105","requests","edfdef23963ab1c5a0424f16f97cdc39dccae34a","core.py","6","4","5","3","1","2","","5","3","5","1","1","2","Gumtree中与目标文件不一致","Block","225"
"106","signal-server","7d8336fd30e1d810a8ce466bd9bdc512633231f5","IncomingMessage.java","6","6","6","6","6","1","","6","6","6","6","6","1","","Non-block","4"
"107","signal-server","8c74ad073b463a6f66140a83451a4fa4711791e2","Pair.java","6","3","5","4","2","1","","5","4","5","5","5","1","","Non-block","14"
"108","signal-server","b08eb0df5c50afcac204881920c16eea82295200","DeviceController.java","6","5","3","2","5","1","","5","4","3","6","4","1","","Non-block","6"
"109","signal-server","b08eb0df5c50afcac204881920c16eea82295200","DeviceControllerTest.java","6","6","6","6","6","1","","6","6","6","6","6","1","","Non-block","16"
"110","signal-server","bd6cf10402d54e7f2e033ac6d3580ff77e34a76a","MessageController.java","6","3","4","5","2","1","","6","4","5","6","4","1","","Non-block","24"
"111","signal-server","ef1160eda850892a6cdf4eea705cd76058cef8c4","AccountAuthenticator.java","6","5","5","2","5","1","","6","5","5","6","6","1","","Non-block","8"
"112","signal-server","ef1160eda850892a6cdf4eea705cd76058cef8c4","Accounts.java","6","4","5","3","2","1","","4","5","4","3","1","1","","Block","107"
"113","signal-server","f9d7c1de573fb10559fc5bc69b40f02b25f48769","StoredMessageManager.java","6","4","3","5","2","1","","5","4","4","5","3","2","","Non-block","11"
"114","spring-cloud-alibaba","7329fb595997cd90c8648f29ac7156e598097db2","pom.xml","6","5","5","5","5","1","","6","5","5","5","5","1","","Block","2"
"115","tensorflow","6578bad00e6125f13722ab322658c8569ad3595d","pom.xml","6","5","3","4","2","1","","6","4","5","3","3","1","","Block","168"
"116","wagtail","7f248bdf63d4b9385f94749057a4021aba1fc5a6","0002_initial_data.py","6","4","4","5","2","1","","5","4","4","3","3","4","","Block","10"
"117","zaproxy","02150ac92f1e6f87544bdc1a2d497db3f5db85ca","LogPanel.java","6","4","4","5","2","1","","6","5","5","6","6","1","","Non-block","6"
"118","zaproxy","28f7e60e429ff25c538bf4ca0249bb45e28b25a6","PortScanPanel.java","4","4","5","6","2","1","","5","5","5","6","4","1","","Non-block","15"
"119","zaproxy","39b01a67c68479987920479511938d28be91fed3","AbstractPlugin.java","6","6","6","3","2","1","","6","6","6","6","1","1","","Non-block","2"
"120","zaproxy","642de8aa8774b7a293ace733144079b840c5e0c4","Constant.java","6","2","5","2","5","1","","6","5","6","6","6","1","","Non-block","2"
"121","scikit-learn","612312553118371289330f50b38653d1206246c0","gene.py","6","1","1","1","2","1","","5","1","5","3","4","2","","Block","702"
"122","pyxel","6923020d84bae4267019c2412518d30ec4a798e7","app.py","6","3","3","1","4","1","","6","3","5","5","4","1","","Block","95"
"123","pyxel","f57563cde5ea0af4e5bfa49338444e46c34fee90","test.py","6","3","6","1","1","1","","5","3","5","4","4","2","","Block","24"
"124","arthas","5465546f9cd713655c41a83d2b70bcbafb43a604","pom.xml","6","3","5","1","3","1","""目前的看法：gbt对重要变化敏感，但做不到事无巨细地列出所有变更，在代码量很大的情况下尤为明显git可以捕获所有变更，但是可支持捕获的变更类型少，只有增删qwuen在代码量大的情况下，输出很混乱ldiff比git支持的变更类型多一些，但是感觉用这些变更类型来描述变更过程还是不太够，有些人好理解的变更动作，它要拆好几道变更动作，增加了理解负担bdiff是直观简洁的，但目前人工很难检查出其是否真的捕捉到了所有变更情况，不知道有没有实验数据支持这个，有没有更简洁的变更类型描述，或者是更概括性的范围更大的代码块变更描述，支持变更嵌套""","4","3","6","2","4","2","","Block","28"
"125","requests","3c32045da05cda554e65d3b943bb1128b2482c7f","core.py","5","3","4","1","2","2","bdiff的split是不是有点问题（搞错了，这是copy）","5","3","5","5","4","1","","Block","60"
"126","signal-server","ef1160eda850892a6cdf4eea705cd76058cef8c4","Keys.java","6","4","4","1","1","1","""ldiff有时候给出不好理解的变更，还不如不给，浪费我时间，这里没有出现不好理解的变更，我给它和git一样的分数gumtree这个工具，理解起来怎么这么费劲呢""","5","4","5","3","4","1","","Block","42"
"127","jabref","3d45f55941a95d5fa932c73abab1fec5b15daff6","EntryTypeForm.java","6","3","4","1","1","1","目前来看，bdiff尤其擅长增、删、行更新和行移动，但是在行复制上不太行，有些行复制很牵强，以人的视角看，应该不是复制过来的，而是自己加上去的，但是这个究竟当时人复制了代码还是自己独自新写的一段代码 很难判定，意义也不大，这个仅供参考就行了，其次就是我目前都还没看到merge、split","5","3","5","3","4","1","","Block","154"
"128","zaproxy","419dacda0e65186d468732da889402226c65f856","BruteForcePanel.java","5","3","3","2","1","1","split有问题（搞错了，这是copy）","6","3","5","5","4","1","","Block","69"
"129","textual","c3d0020fed9c2e99982330809fa85d1f9967c196","driver.py","6","2","2","1","1","1","","5","2","5","3","3","1","","Block","312"
"130","textual","302c37b207a00dfcac4d667bde2cb3f2f91bc0bf","_linux_driver.py","5","3","3","1","2","1","","5","3","5","3","4","1","","Block","40"
"131","ok-http","b8c51dc5bdc89d5487cbc110d6fe40389de16480","HttpTransport.java","5","3","3","1","3","1","ldiff在这个例子里是有误导吗","5","3","5","3","4","1","","Block","12"
"132","black","cf6f577928f5a1f4e98b02b8e723311cae830305","black.py","5","4","3","1","1","1","""复制到临近行，不切分一下吗，看不太清两个复制操作的界限了ldiff同行还move啊""","5","4","5","3","4","2","","Block","23"
"133","magisk","dc06a132bcfa4320a0e5f5be9cd4a8dd0a2ef96b","magisk_fragment.xml","6","4","5","1","4","3","","5","6","6","3","4","2","","Block","28"
"134","signal-server","40a988c0cd93ffbb7aec92376852d3c88e8d159e","AccountController.java","6","4","4","1","3","1","","5","6","5","3","4","2","","Block","70"
"135","zaproxy","4156b55b28bb5e5024deda8cd8f01efec1285322","ExtensionActiveScan.java","6","4","3","2","1","1","""gpt咋还把代码行减少了ldiff搞得很乱""","5","6","5","3","4","2","","Block","94"
"136","arthas","551432da0aeaccc44bb9642f002d0e22adda8877","pom.xml","6","5","5","5","5","1","","5","6","6","3","3","2","","Block","5"
"137","mall","f603ca624dbf0876d79c796155455f94430c3cb2","OmsCompanyAddressMapper.xml","6","3","3","1","5","1","大段复制，ldiff居然检测不出来","5","3","5","3","4","2","","Block","538"
"138","elastic-search","ade36f026b0a676cc879992636856cd5f69430c1","InternalTransportClusterAdminClient.java","6","3","2","3","3","1","","6","3","5","3","4","2","","Block","175"
"139","ok-http","43a332bca4f76e4757d3d28f8f467f33190cfdef","URLConnectionTest.java","5","4","4","4","1","1","跨度这么远，就算真是复制过来的，代码长度行数都不是很大，为什么不能看成是新写的呢，新写也不难，我对照着看过来还挺费劲的","5","4","5","3","4","2","","Block","49"
"140","arthas","7d0e75baaabb7a8f673fc129097a32d864261d0e","pom.xml","6","4","4","4","4","1","","5","6","5","3","4","1","","Block","12"
"141","pyxel","2b4f61f6a42b6335b3d77bb6950361fd81ee5315","draw_test.py","6","5","6","2","5","1","","5","4","5","3","4","2","","Block","15"
"142","pyxel","2f94ce3f4656da24dbf7364f186888dbdee2db5c","renderer.py","6","4","4","1","6","6","ldiff这么变更理解也没错，但是对比bdiff，这个变更路径太长了，不直观和不易理解","5","6","5","3","4","2","","Block","11"
"143","magisk","e6b951c62af7840c8ef12600b9e85faedbff8137","strings.xml","6","4","3","3","5","1","","5","6","5","3","4","2","","Block","15"
"144","spring-cloud-alibaba","8d6b4034be5bacfd3759063f5e4cd7b24c805347","pom.xml","6","4","4","2","3","1","quwen把变更过程展现的这么复杂干嘛","5","4","6","3","4","2","","Block","13"
"145","zaproxy","1da01dca8b0b7be64a60a4cb820eab7928ddb8d5","Control.java","6","4","3","4","3","1","","5","6","5","3","4","2","","Block","40"
"146","okhttp","00d39e07e32a95bbd212cae93efa3110ef0ea8cf","pom.xml","5","4","3","3","1","1","bdiff，变化很多的情况，有些变更靠近，界限不清楚","6","4","5","3","4","2","","Block","138"
"147","zaproxy","419dacda0e65186d468732da889402226c65f856","ExtensionBruteForce.java","5","4","4","4","4","1","bdiff的块复制跨的很远","6","4","5","3","4","2","","Block","40"
"148","spring-cloud-alibaba","b4b8fa0d1957035eefad9754893484572184fcd0","pom.xml","6","4","6","4","5","5","","6","4","5","3","4","2","","Block","11"
"149","h2","ccae0ef2b0fdb235aa30bb0fb743c987f2238c33","CommandList.java","6","4","4","4","4","1","","6","4","5","3","4","2","","Block","4"
"150","home-assitant","a2a580f0fe7a1354a109eb062b5393fbb330f508","urls.py","6","4","4","1","1","1","","6","4","5","3","4","2","","Block","39"
"151","black","5bc40707afa5fb53bbc2484ed34f69b011b98172","black.py","6","4","5","1","1","1","","6","4","5","3","4","2","","Non-block","4"
"152","black","5fa38d4c3bdae68abfe235709b69b1bc8ae75c3a","tokenize.py","6","4","4","1","5","1","","6","4","5","3","4","2","","Non-block","2"
"153","black","5fb5cc8c2bd5a0bb1359fb69cdb705b55afade52","function.py","6","6","6","1","4","1","","6","6","5","3","4","2","","Non-block","4"
"154","django","272b2175578c0ede4359fb10c96831b4aea95933","mysql.py","6","6","6","1","6","1","","6","6","6","3","4","1","","Non-block","4"
"155","django","8acc6048e8fe17e1ba7e9df30aace2ef84d68276","meta.py","6","4","5","1","1","1","","6","4","5","3","4","1","","Non-block","5"
"156","django","a22f823e0034bf607b841bd704cfd4d2cc6621a1","admin.py","6","4","5","1","5","1","","6","4","5","3","4","1","","Non-block","2"
"157","django","f4c581158d489aba88f3cbb2c61dd44949ea0038","admin.py","6","4","5","4","6","3","块无关的改动，ldiff做的还行，就是不太到位，有些细节变化体现不出来","6","4","5","3","4","1","","Non-block","2"
"158","django","f4c581158d489aba88f3cbb2c61dd44949ea0038","login.py","6","4","5","4","6","3","","6","4","5","3","4","1","","Non-block","2"
"159","home-assitant","46840b2c2f3d6546b9b6ec12cab561f361da2682","gravatar.py","5","4","5","1","5","1","","6","4","6","3","4","1","","Non-block","13"
"160","home-assitant","70e91d6759e86a0490b478d7f5ae4dafae8bc663","taggable.py","6","4","5","4","6","3","","6","4","5","3","4","1","","Non-block","2"
"161","home-assitant","a2a580f0fe7a1354a109eb062b5393fbb330f508","forms.py","6","4","5","1","6","1","","6","6","5","3","4","1","","Non-block","8"
"162","home-assitant","c73d5c6ecc8a0d320f599b35da47e04f2def7fb1","forms.py","6","4","4","4","5","1","","6","4","5","3","4","1","","Non-block","2"
"163","keras","1711d37b1669aecc48d55aa62c6814235e5321f0","np_utils.py","6","6","6","4","6","1","","6","6","5","3","4","1","","Non-block","5"
"164","keras","746b5d17bc9b032f86253444332c08644ae90fb2","imdb.py","6","4","5","1","4","1","","6","4","5","3","4","1","","Non-block","7"
"165","keras","8b2849bd314fc8f8f42f65fda95916b5f1cddafc","sequence.py","6","4","5","2","1","1","","5","4","5","3","4","1","","Non-block","34"
